family,reconstruction_error
E,0.03132536310662424
G,0.004802772640067688
E,0.00416696071086218
L,0.010699294408477436
G,0.016503372217362845
G,0.0059128675594443845
G,0.005918182825043177
E,0.005918182825043177
L,3955.182980232405
E,0.12903961438772915
G,0.005504624546255918
L,0.32657692833705004
G,0.019552197614801273
E,10.908682863159177
G,0.012124584361788414
E,197.8510774502112
L,0.0050881254078493044
G,0.005918182825043177
E,5.073130722069634
G,0.012124584361788414
G,0.020620838239755728
E,0.13761237698398227
E,5.066225885974898
E,0.005240963345274352
L,0.007133627380775019
L,0.007133627380775019
E,999.0368394811053
L,0.008739212580153354
L,893.6481160523304
L,0.008739212580153354
L,0.007035760309749596
G,0.005918186176643807
G,0.004802772640067688
E,0.22260944501427637
E,0.12903961438772915
E,49.011899847109
L,0.0050881254078493044
L,0.12409557198511904
G,0.0059128675594443845
E,0.006272347991020963
G,0.020620838239755728
E,1.2839885411917409
E,0.00416696071086218
E,0.005018743229169283
E,76.78448908587546
E,0.808524325523973
G,0.5855231546547289
L,2599.70813737208
E,326.5446040093894
E,0.005385325260632936
E,3.2912102528111475
E,0.005018743229169283
E,0.0057362231704280375
E,88.18356968700913
G,0.005918182825043177
L,0.007133627380775019
G,0.0059128675594443845
G,0.005918182825043177
E,0.005918182825043177
E,1.7119657688202716
G,0.005918182825043177
G,0.017564553535780906
G,0.009887771685225187
G,0.5009449257936932
G,0.020620838239755728
E,5.458765293857044
E,75.15806025575763
G,0.005918182825043177
G,0.5416777603909612
E,1.10953893159202
E,0.005918182825043177
E,0.7062327668555426
E,0.08466326254465623
G,0.005504624546255918
G,0.5231790438393052
E,439.0475849941579
E,4.865970449484635
E,0.42300253547508887
G,0.3931859774580762
L,0.11966246869039689
G,0.008217216180561803
E,2.0141571619972027
G,0.5144268979552156
G,0.014225019883721645
G,0.0059128675594443845
E,0.004253792356192808
E,2370.0103852657207
E,37.310131355460214
E,195.7641515739589
G,0.005918182825043177
E,20.68315968411794
E,1008.8869143786945
G,0.008217216180561803
G,0.005918182825043177
G,0.004802774507182823
G,0.005918186176643807
E,0.37296313508131823
G,0.017634924448421494
E,15.781561140366014
G,4.204273139430212
G,0.5111634304745828
G,0.005918182825043177
G,0.005918182825043177
E,1172.7864985466588
G,0.3354875621444989
G,0.005918182825043177
E,0.005521191304392353
L,0.007133627380775019
E,0.5322806502329239
G,0.38854556259258866
G,0.1657902815366378
G,0.0059128675594443845
G,0.0059128675594443845
G,0.008217216180561803
L,0.12409557198511904
E,48.713221863983684
E,14.502554481178514
L,0.2337585493491486
E,446.64584442852384
E,0.2526084996577302
G,0.005918182825043177
G,0.005918182825043177
G,0.005918182825043177
E,0.23044693198157795
E,0.5596699644189026
E,3.315693827274243
E,0.0056274150138141315
E,359.5965660558982
E,2.0240354500236184
G,0.0059128675594443845
E,0.0059128675594443845
E,0.004940132988537862
G,0.540222992492349
E,20.608006493350256
G,0.025352794372453316
G,0.004802772640067688
L,3270.4761819266582
G,0.005918182825043177
G,0.0059128675594443845
G,0.5111634304745828
G,0.005918182825043177
G,0.27421263626603615
E,0.25268671843291995
E,88.2771970521542
G,0.016623181140104214
G,0.06082356524808038
L,0.28914775177947327
G,16.459742722483227
G,0.517978875191346
G,0.005918182825043177
E,0.005018743229169283
E,96.46530984701879
E,0.0059128675594443845
G,0.02179378114622743
E,0.00416696071086218
E,0.47860093265993586
G,0.009887768683426662
E,53.28015789116595
G,0.005918186176643807
G,0.5234455880684664
E,0.00542068222281453
G,0.005918182825043177
L,0.12107693869674906
L,0.12419158662825314
E,0.005918182825043177
G,0.27421263626603615
G,0.004827954800043235
L,0.12107693869674906
G,0.005918182825043177
L,0.3507471034242556
G,0.004827954800043235
G,0.009274595966719035
E,0.13974819713170267
G,0.051230462826260405
G,0.0059128675594443845
G,0.44911553305260304
G,0.005988321143520149
E,0.005918182825043177
G,0.005918182825043177
E,41.3448998942037
G,0.5111634304745828
E,2.0240354500236184
G,0.0059128675594443845
E,0.005627412497976822
E,0.808524325523973
G,0.004802772640067688
L,0.007133627380775019
G,0.005918182825043177
E,2.0141571619972027
E,11.414755294627156
E,0.00416695895164921
E,0.3914593831872446
G,0.004827954800043235
G,0.575547957457605
E,889.7893393984442
L,0.007133627380775019
E,48.4351704946545
G,0.009274595966719035
G,0.005918182825043177
G,0.009274595966719035
E,188.5429906778148
G,0.5419510979925
G,0.005918182825043177
G,0.0059128675594443845
G,0.005918182825043177
E,650.1502619823082
G,0.5718320893735552
E,0.004253792356192808
G,0.005918182825043177
G,0.5212460959500868
G,0.005918182825043177
E,788.2796316133813
E,0.808524325523973
E,9.350293710915464
G,0.005918182825043177
G,0.0059128675594443845
L,0.008739212580153354
G,0.012124584361788414
L,888.7571521990072
E,75.96520898913978
L,887.4546695252196
G,0.0059128675594443845
G,0.005912867647862575
E,20.236498705236897
G,0.008217216180561803
G,0.004906987882536262
G,0.44911553305260304
G,0.004827954800043235
E,0.00550276850775485
E,0.13763711865016645
E,21.149033334793213
G,0.008217216180561803
E,1010.0127587757585
