family,reconstruction_error
E,0.22887129070545145
G,0.009749214302712283
E,0.009632068162492551
L,0.043146155053176836
G,0.008479529263416807
G,0.004013368372057965
G,0.0021533984434688133
E,0.0021533984434688133
L,18643.35618745456
E,0.3098366109573019
G,0.004646025063353814
L,1.3627375519206053
G,0.03798111297934148
E,51.35761005959856
G,0.028826374737693592
E,897.8395414974738
L,0.005560910681880567
G,0.0021533984434688133
E,22.098635230073423
G,0.028826374737693592
G,0.03881505343919212
E,0.29665297037740657
E,22.08325402288048
E,0.005175585212972826
L,0.004662620945350125
L,0.004662620945350125
E,4249.337765381744
L,0.008026569038440984
L,4175.24239716701
L,0.008026569038440984
L,0.005977009595174862
G,0.0021533995148966464
G,0.009749214302712283
E,0.7395592760297475
E,0.3098366109573019
E,214.1795883149482
L,0.005560910681880567
L,0.11487047050807718
G,0.004013368372057965
E,0.005971294542430908
G,0.03881505343919212
E,6.451028480882665
E,0.009632068162492551
E,0.001550823635803279
E,248.82937182814848
E,0.5452053081462473
G,0.1519522969672583
L,12249.325506334302
E,1180.9236234987372
E,0.0050298909746952355
E,12.13104862165803
E,0.001550823635803279
E,0.034739618431253304
E,278.41840392601176
G,0.0021533984434688133
L,0.004662620945350125
G,0.004013368372057965
G,0.0021533984434688133
E,0.0021533984434688133
E,5.005365438613277
G,0.0021533984434688133
G,0.027120309125333097
G,0.004612008054890743
G,0.08037847080973996
G,0.03881505343919212
E,15.527083251779798
E,246.41105668038333
G,0.0021533984434688133
G,0.10922063354043031
E,2.689909400554718
E,0.0021533984434688133
E,2.7900287791904232
E,0.22184491455282132
G,0.004646025063353814
G,0.193103844235918
E,2092.562500282806
E,17.199637795600484
E,1.0725274056803176
G,0.06945943128267529
L,0.11779257558385027
G,0.005147054558177653
E,4.1226836688994295
G,0.09050142186543016
G,0.007049312098870285
G,0.004013368372057965
E,0.010001854137446897
E,8908.35529401088
E,150.5712323260403
E,891.8823497318735
G,0.0021533984434688133
E,89.44743293358546
E,4469.530750950322
G,0.005147054558177653
G,0.0021533984434688133
G,0.00974924846622163
G,0.0021533995148966464
E,0.7210567659728397
G,0.07641140995692998
E,67.19904425677028
G,0.16807603227436463
G,0.11755008059849975
G,0.0021533984434688133
G,0.0021533984434688133
E,4528.930510333918
G,0.03132890853617481
G,0.0021533984434688133
E,0.004631109606855922
L,0.004662620945350125
E,0.41612355413969265
G,0.01611811594811972
G,0.46700120250187754
G,0.004013368372057965
G,0.004013368372057965
G,0.005147054558177653
L,0.11487047050807718
E,214.19827906328646
E,70.12878747221471
L,0.9014050464956643
E,2096.375913528405
E,0.43331554506362435
G,0.0021533984434688133
G,0.0021533984434688133
G,0.0021533984434688133
E,1.0277388281348117
E,0.45343458187608426
E,12.143719303456566
E,0.015358098477619334
E,1640.9258475440295
E,4.125659101352571
G,0.004013368372057965
E,0.004013368372057965
E,0.006913443049971059
G,0.1381441623399616
E,87.12755652842014
G,0.030517081966683447
G,0.009749214302712283
L,15423.093645603185
G,0.0021533984434688133
G,0.004013368372057965
G,0.11755008059849975
G,0.0021533984434688133
G,0.055599529579131786
E,0.7213159437946922
E,278.27810356203105
G,0.07567400654615196
G,0.3497621032721201
L,1.125956900639078
G,3.2828230735620934
G,0.19445711999937768
G,0.0021533984434688133
E,0.001550823635803279
E,445.46024806575207
E,0.004013368372057965
G,0.027502635070331388
E,0.009632068162492551
E,1.1192053480761415
G,0.004612005998773529
E,243.33769331482958
G,0.0021533995148966464
G,0.19320335386025786
E,0.004027006798045231
G,0.0021533984434688133
L,0.11676013363335856
L,0.11606972817711918
E,0.0021533984434688133
G,0.055599529579131786
G,0.001900096633762152
L,0.11676013363335856
G,0.0021533984434688133
L,1.292923878204739
G,0.001900096633762152
G,0.004442020322695301
E,0.29769162897785334
G,0.1907734241361195
G,0.004013368372057965
G,0.17074541253045605
G,0.008708382959295394
E,0.0021533984434688133
G,0.0021533984434688133
E,170.0266420620977
G,0.11755008059849975
E,4.125659101352571
G,0.004013368372057965
E,0.015358064875715194
E,0.5452053081462473
G,0.009749214302712283
L,0.004662620945350125
G,0.0021533984434688133
E,4.1226836688994295
E,43.25391927427773
E,0.009632064599096797
E,1.0666015421742927
G,0.001900096633762152
G,0.14596602091112995
E,3911.195776400149
L,0.004662620945350125
E,215.93946153152322
G,0.004442020322695301
G,0.0021533984434688133
G,0.004442020322695301
E,858.3797801828811
G,0.9006756841372076
G,0.0021533984434688133
G,0.004013368372057965
G,0.0021533984434688133
E,2991.395528993555
G,0.6846498587407187
E,0.010001854137446897
G,0.0021533984434688133
G,0.19282339799874268
G,0.0021533984434688133
E,3348.3923798181463
E,0.5452053081462473
E,37.57449454409615
G,0.0021533984434688133
G,0.004013368372057965
