family,anomaly_score
E,0.11364732182720111
G,0.20029827196704186
E,0.09301812186277164
L,0.0532580289043435
G,0.18337601483926247
G,0.20890131945825352
G,0.19347420310232238
E,0.19347420310232238
L,-0.15765012704773917
E,-0.04860625347762115
G,0.09580913453309842
L,-0.12078349915793596
G,0.16793032608788672
E,-0.10654986777523967
G,0.07993212351111711
E,-0.19448280526252182
L,0.19918691341927103
G,0.19347420310232238
E,-0.10654986777523967
G,0.07993212351111711
G,0.1698098918354824
E,-0.07289328164922304
E,-0.10654986777523967
E,0.19915679490249372
L,0.19299348931256494
L,0.19299348931256494
E,-0.2029485668274289
L,-0.007073232747103253
L,-0.1549097278545234
L,-0.007073232747103253
L,0.17252597479754928
G,0.19347420310232238
G,0.20029827196704186
E,0.07285326366002054
E,-0.04860625347762115
E,-0.17703837756381346
L,0.19918691341927103
L,0.11594365491611558
G,0.20890131945825352
E,0.07062631025400834
G,0.1698098918354824
E,-0.07420529942502563
E,0.09301812186277164
E,0.17288699912858901
E,-0.2312095017742959
E,-0.08476894280237335
G,-0.02590774502870452
L,-0.14411950594804912
E,-0.12720930174261424
E,0.19739000342537416
E,-0.1297238180618403
E,0.17288699912858901
E,0.1288232645456578
E,-0.2127962653626273
G,0.19347420310232238
L,0.19299348931256494
G,0.20890131945825352
G,0.19347420310232238
E,0.19347420310232238
E,-0.12547820463296444
G,0.19347420310232238
G,0.08480818892175707
G,0.19754170914787905
G,-0.04527704286199297
G,0.1698098918354824
E,-0.14069385378295307
E,-0.23094359538578124
G,0.19347420310232238
G,0.07974475493139233
E,-0.11124202082020451
E,0.19347420310232238
E,-0.0863859349842071
E,-0.06821931417401783
G,0.09580913453309842
G,0.004111671324866117
E,-0.1598218968574424
E,-0.11096056027225254
E,-0.1115963957857028
G,0.07933102288051763
L,0.11476999154577588
G,0.18262990612257107
E,-0.11282665162884054
G,0.086372669730715
G,0.19046546716595625
G,0.20890131945825352
E,0.09113039013206592
E,-0.12783342714042567
E,-0.18505169487638162
E,-0.19189941882525552
G,0.19347420310232238
E,-0.11664180613370889
E,-0.1925736710610858
G,0.18262990612257107
G,0.19347420310232238
G,0.20029827196704186
G,0.19347420310232238
E,-0.0659416361832258
G,0.14999078649972714
E,-0.11641465065775025
G,-0.10159340202287126
G,0.07953451959234775
G,0.19347420310232238
G,0.19347420310232238
E,-0.24455033318078534
G,0.07494150606080369
G,0.19347420310232238
E,0.0972537930530758
L,0.19299348931256494
E,-0.04847113792308577
G,0.09956264698939576
G,-0.022754825436013593
G,0.20890131945825352
G,0.20890131945825352
G,0.18262990612257107
L,0.11594365491611558
E,-0.1743195572488715
E,-0.09773608114228916
L,-0.03360585483797762
E,-0.15306128093799776
E,-0.07804644115244574
G,0.19347420310232238
G,0.19347420310232238
G,0.19347420310232238
E,-0.06098132847265181
E,-0.04850521965016297
E,-0.13041902914735504
E,0.20002688898105375
E,-0.19748454456993836
E,-0.11282665162884054
G,0.20890131945825352
E,0.20890131945825352
E,0.0678981123105466
G,0.0775873638676789
E,-0.11954946037812697
G,0.16197651079999636
G,0.20029827196704186
L,-0.14384239324344883
G,0.19347420310232238
G,0.20890131945825352
G,0.07953451959234775
G,0.19347420310232238
G,0.01387408180511962
E,0.07395240715866153
