family,file_read,file_created,regkey_written,regkey_read,apistats,command_line,directory_enumerated,dll_loaded,tree_command_line,arguments,urls,proc_pid
G,44349,0,0,0,0,0,0,0,0,0,18,5
G,17384,0,0,0,0,0,0,0,0,0,5,2
G,16865,0,0,0,0,0,0,0,0,0,0,2
G,17304,0,0,0,0,81,0,0,0,1,4,3
G,17560,0,0,0,0,0,0,0,0,0,0,6
G,16140,0,0,0,0,81,0,0,0,1,3,9
G,17484,0,0,0,0,0,0,0,0,0,1,2
G,17108,0,0,0,0,0,0,0,0,0,4,3
G,17520,0,0,0,0,0,0,0,0,0,0,4
G,17122,0,0,0,0,0,0,0,0,0,6,5
G,17482,0,0,0,0,0,0,0,0,0,14,4
G,12396,0,0,0,0,0,0,0,0,0,7,6
G,18290,0,0,0,0,228,0,0,0,3,23,11
G,16803,0,0,0,0,0,0,0,0,0,0,3
G,16403,0,0,0,0,0,0,0,0,0,4,5
G,17652,0,0,0,0,0,0,0,0,0,2,2
G,16173,0,0,0,0,0,0,0,0,0,5,4
G,18599,0,0,0,0,0,0,0,0,0,0,4
G,20645,0,0,0,0,0,0,0,0,0,4,9
G,20303,0,0,0,0,0,0,0,0,0,3,7
G,17561,0,0,0,0,0,0,0,0,0,10,4
G,19005,0,0,0,0,2341,0,0,0,27,17,11
G,15754,0,0,0,0,0,0,0,0,0,25,9
G,20208,0,0,0,0,236,0,0,0,3,10,6
G,21116,0,0,0,0,81,0,0,0,1,14,4
G,20891,0,0,0,0,220,0,0,0,4,6,5
G,18572,2,0,0,0,608,0,0,0,5,9,6
G,18257,0,0,0,0,81,0,0,0,1,27,2
G,18648,0,0,0,0,81,0,0,0,1,10,5
G,19091,0,0,0,0,2192,0,0,0,51,13,6
G,5279,0,0,0,0,81,0,0,0,1,4,2
G,23381,0,0,0,0,2109,0,0,0,50,4,8
G,18997,0,0,0,0,81,0,0,0,1,20,6
G,19251,0,0,0,0,81,0,0,0,1,2,2
G,18567,0,0,0,0,81,0,0,0,1,3,2
G,17534,0,0,0,0,81,0,0,0,1,2,6
G,19710,0,0,0,0,81,0,0,0,1,5,3
G,18224,0,0,0,0,81,0,0,0,1,0,4
G,18585,0,0,0,0,81,0,0,0,1,9,5
G,18036,0,0,0,0,0,0,0,0,0,1,3
G,18912,0,0,0,0,81,0,0,0,1,4,3
G,17977,0,0,0,0,81,0,0,0,1,0,4
G,18108,0,0,0,0,81,0,0,0,1,32,8
G,18087,0,0,0,0,81,0,0,0,1,6,3
G,18441,0,0,0,0,81,0,0,0,1,7,6
G,19353,0,0,0,0,81,0,0,0,1,0,4
G,18837,0,0,0,0,0,0,0,0,0,7,3
G,18474,0,0,0,0,81,0,0,0,1,1,3
G,18151,0,0,0,0,2112,0,0,0,50,8,9
G,18604,0,0,0,0,81,0,0,0,1,1,3
G,19923,0,0,0,0,2192,0,0,0,51,5,4
G,20276,0,0,0,0,81,0,0,0,1,1,6
G,19529,0,0,0,0,81,0,0,0,1,20,4
G,20538,0,0,0,0,0,0,0,0,0,1,5
G,19891,0,0,0,0,81,0,0,0,1,3,7
G,20816,0,0,0,0,81,0,0,0,1,2,6
G,20138,0,0,0,0,81,0,0,0,1,3,5
G,18590,0,0,0,0,129,0,0,0,2,0,8
G,19890,0,0,0,0,81,0,0,0,1,4,6
G,19764,0,0,0,0,81,0,0,0,1,1,6
G,21011,0,0,0,0,257,0,0,0,4,5,8
G,19080,0,0,0,0,0,0,0,0,0,3,4
G,19913,0,0,0,0,114,0,0,0,1,24,6
G,20368,0,0,0,0,81,0,0,0,1,0,4
G,19684,0,0,0,0,81,0,0,0,1,3,4
G,20055,0,0,0,0,81,0,0,0,1,3,5
G,21055,0,0,0,0,81,0,0,0,1,3,6
G,19971,0,0,0,0,81,0,0,0,1,1,7
G,19997,0,0,0,0,0,0,0,0,0,7,3
G,20040,0,0,0,0,81,0,0,0,1,0,6
G,19916,0,0,0,0,81,0,0,0,1,4,4
G,19839,0,0,0,0,81,0,0,0,1,0,9
G,5839,0,0,0,0,179,0,0,0,3,10,8
G,43094,0,0,0,0,2681,0,0,0,60,94,33
G,49442,0,0,0,0,81,0,0,0,1,7,9
G,49830,0,0,0,0,2191,0,0,0,51,11,6
G,50053,0,0,0,0,81,0,0,0,1,12,5
G,50631,0,0,0,0,81,0,0,0,1,10,3
G,47149,0,0,0,0,0,0,0,0,0,4,2
G,49421,0,0,0,0,81,0,0,0,1,1,3
G,50123,0,0,0,0,81,0,0,0,1,15,3
G,47838,0,0,0,0,81,0,0,0,1,1,5
G,47588,0,0,0,0,81,0,0,0,1,5,3
G,47839,0,0,0,0,612,0,0,0,10,21,9
G,43399,0,0,0,0,81,0,0,0,1,10,4
G,46285,0,0,0,0,476,0,0,0,10,1,3
G,45613,0,0,0,0,81,0,0,0,1,4,8
G,46768,0,0,0,0,81,0,0,0,1,1,2
G,41341,0,0,0,0,0,0,0,0,0,3,1
G,41940,0,0,0,0,781,0,0,0,9,4,18
G,41453,0,0,0,0,0,0,0,0,0,3,4
G,42714,0,0,0,0,0,0,0,0,0,0,3
G,40454,0,0,0,0,48,0,0,0,1,4,8
G,39783,0,0,0,0,0,0,0,0,0,26,7
G,41592,0,0,0,0,0,0,0,0,0,3,6
G,40716,0,0,0,0,0,0,0,0,0,5,5
G,40527,0,0,0,0,0,0,0,0,0,7,4
G,42461,0,0,0,0,0,0,0,0,0,0,2
G,40433,0,0,0,0,0,0,0,0,0,5,2
G,41880,0,0,0,0,0,0,0,0,0,0,2
G,39825,0,0,0,0,0,0,0,0,0,7,9
G,41945,0,0,0,0,0,0,0,0,0,1,2
G,40224,0,0,0,0,0,0,0,0,0,3,2
G,41411,0,0,0,0,70,0,0,0,1,17,2
G,40364,0,0,0,0,0,0,0,0,0,3,2
G,40392,0,0,0,0,0,0,0,0,0,1,2
G,42236,0,0,0,0,0,0,0,0,0,4,3
G,38232,0,0,0,0,48,0,0,0,1,5,4
G,38492,0,0,0,0,395,0,0,0,9,3,8
G,39871,0,0,0,0,0,0,0,0,0,0,5
G,39714,0,0,0,0,0,0,0,0,0,3,4
G,40353,0,0,0,0,0,0,0,0,0,0,8
G,41462,0,0,0,0,0,0,0,0,0,3,3
G,40716,0,0,0,0,0,0,0,0,0,16,4
G,40034,0,0,0,0,0,0,0,0,0,3,2
G,41445,0,0,0,0,0,0,0,0,0,1,3
G,38930,0,0,0,0,0,0,0,0,0,4,5
G,40029,0,0,0,0,0,0,0,0,0,0,1
G,41290,0,0,0,0,0,0,0,0,0,3,1
G,39510,0,0,0,0,0,0,0,0,0,3,2
G,40261,0,0,0,0,0,0,0,0,0,6,5
G,40978,0,0,0,0,0,0,0,0,0,0,3
G,39953,0,0,0,0,0,0,0,0,0,3,5
G,39138,0,0,0,0,0,0,0,0,0,18,7
G,38056,0,0,0,0,99,0,0,0,1,4,3
G,40452,0,0,0,0,0,0,0,0,0,3,7
G,41296,0,0,0,0,0,0,0,0,0,4,4
G,39439,0,0,0,0,0,0,0,0,0,0,3
G,41516,0,0,0,0,0,0,0,0,0,4,7
G,40375,0,0,0,0,0,0,0,0,0,1,1
G,40374,0,0,0,0,0,0,0,0,0,2,3
G,38426,0,0,0,0,48,0,0,0,1,3,5
