family,file_read,file_created,regkey_written,regkey_read,apistats,command_line,directory_enumerated,dll_loaded,tree_command_line,arguments,urls,proc_pid
G,0,0,0,0,0,0,0,0,0,0,8,2
G,0,0,0,0,210,0,301,5166,0,0,4,0
G,0,0,0,0,238,0,327,5116,0,0,3,0
G,0,0,0,0,4,0,4,95,0,0,0,1
G,0,0,0,0,0,0,0,0,0,0,5,2
G,0,0,0,0,0,0,0,0,0,0,3,0
G,0,0,0,0,0,0,0,1,0,0,1,1
G,0,0,0,0,0,0,0,0,0,0,4,1
G,0,0,0,0,0,0,0,0,0,0,3,0
G,0,0,0,0,0,0,0,0,0,0,2,1
G,0,0,0,0,0,0,0,0,0,0,1,2
G,0,0,0,0,0,0,0,0,0,0,30,0
G,0,0,0,0,0,0,0,1,0,0,5,1
G,0,0,0,0,0,0,0,0,0,0,5,1
G,0,0,0,0,0,0,0,0,0,0,5,2
G,0,0,0,0,0,0,0,0,0,0,5,0
G,0,0,0,0,0,0,0,0,0,0,1,1
G,0,0,0,0,0,0,0,0,0,0,1,2
G,0,0,0,0,0,0,0,0,0,0,6,0
G,0,0,0,0,0,0,0,0,0,0,1,2
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,1,0
G,0,0,0,0,0,0,0,0,0,0,1,4
G,0,0,0,0,0,0,0,0,0,0,27,0
G,0,0,0,0,0,0,0,0,0,0,4,2
G,0,0,0,0,0,0,0,0,0,0,2,1
G,0,0,0,0,0,0,0,0,0,0,19,1
G,0,0,0,0,0,0,0,7,0,0,7,1
G,0,0,0,0,0,0,0,0,0,0,7,1
G,0,0,0,0,0,0,0,0,0,0,1,1
